stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1803,200,"Madrid 17 (L17,37)",,43.303763,-1.97581,40,,0,
1804,201,"Madrid 3","Madrid 3 (L17,l27,l40)",43.3054400138,-1.97750736492,40,,0,
1805,202,"Sancho E.Sabio 33 (L17,24,37)",,43.308349,-1.97952,40,,0,
1806,203,Azpeitia,,43.3098897327,-1.9794510308,40,,0,
1807,204,"Gernikako Arbola Pas.","Gernikako Arbola",43.3139853709,-1.97933119438,40,,0,
1808,205,"Ps. Arbol De Gernika, Frente Nº 6 (Donostia)","Mª Cristina Pte./Zubia",43.3176039836,-1.97887234505,40,,0,
1809,206,"Groseko Anbulategia","Ambulat Gros (L8,17,33,40, 41)",43.3256177714,-1.97075868482,40,,0,
1810,207,"Askatasunaren Etorbidea 18, (Donostia)","Askata.18 (L,33, 40)",43.3199246443,-1.98140471447,40,,0,
1811,208,"Urbieta 6","Urbieta 6 (L19,26,31,36)",43.3183480838,-1.98386361411,40,,0,
1812,209,Collado,"P.M.Collado (L21,24,27)",43.3069065087,-1.9811981612,40,,0,
1813,21,"Antzieta 31",,43.3041191855,-1.96161551096,40,,0,
1814,210,"Jose M¬ Salaberria 27","Salaberria 27",43.305301831,-1.98068447806,40,,0,
1815,211,Mutualitateak,Mutualidades,43.3028428378,-1.98023015652,40,,0,
1816,212,Errondo-Barkaiztegi,"Errondo Barkaiztegi",43.3054993824,-1.9825579546,40,,0,
1817,213,"San Bartolome 9",,43.3163393293,-1.98294738818,40,,0,
1818,214,Errondo,,43.3051789741,-1.98286804377,40,,0,
1819,215,"Errondoko Gaina/Alto De Errondo","Errondoko Gaina/A. De E. 32",43.3006689383,-1.9795187085,40,,0,
1820,216,Azkaratene,,43.3009318665,-1.98722789621,40,,0,
1821,217,"Alcalde Elosegi,279 (Donostia)","Alto Miracruz Ii",43.3212669354,-1.94801999193,40,,0,
1822,218,"Bera Bera 133",,43.3034091716,-1.99294630998,40,,0,
1823,219,"Bera Bera 89",,43.3050839547,-1.9946477267,40,,0,
1824,22,"Txomin Enea",,43.3047999522,-1.96346867241,40,,0,
1825,220,"Bera Bera 85",,43.3043996128,-1.99653772798,40,,0,
1826,221,"Bera Bera 57",,43.3023020133,-1.99812747072,40,,0,
